station,lat,lon,altitude_m,model_lat,model_lon,model_level,model_pressure_hPa,model_height_m
1001A,39.8784,116.3621,47.84,39.875,116.375,22,990.33935546875,48.56948652986749
1002A,40.2915,116.2202,125.0,40.3125,116.25,22,956.4193725585938,346.122677476827
1003A,39.9289,116.4174,52.0,39.9375,116.4375,22,990.9793701171875,45.102451405742535
1004A,39.8863,116.4072,47.13,39.875,116.4375,22,990.9793701171875,42.45118925199992
1005A,39.9365,116.462,45.48,39.9375,116.4375,22,990.9793701171875,45.102451405742535
1006A,39.9295,116.3392,52.0,39.9375,116.3125,22,989.6994018554688,55.50355677811741
1007A,39.9611,116.2878,53.01,39.9375,116.3125,22,989.6994018554688,55.50355677811741
1008A,40.135,116.6636,39.73,40.125,116.6875,22,992.2593994140625,34.29345954817649
1009A,40.3275,116.6275,58.19,40.3125,116.625,22,989.0593872070312,59.17453514483795
1010A,40.217,116.2296,68.47,40.1875,116.25,22,987.139404296875,69.98352700240399
1011A,39.9821,116.3966,46.75,40.0,116.375,22,990.33935546875,45.918224376124876
1015A,39.1661,117.1444,6.07,39.1875,117.125,22,995.4593505859375,5.741405584794502
1016A,39.1205,117.184,8.85,39.125,117.1875,22,995.4593505859375,5.945348827390088
1018A,39.0927,117.202,5.03,39.0625,117.1875,22,995.4593505859375,4.517746129220988
1021A,39.0877,117.307,5.68,39.0625,117.3125,22,996.099365234375,3.7019731588386455
1024A,38.8394,117.457,4.04,38.8125,117.4375,22,996.7393798828125,1.8664839754783744
1026A,39.1587,117.764,-1.37,39.1875,117.75,22,996.7393798828125,0.8467677625004462
1027A,38.9194,117.157,3.51,38.9375,117.1875,22,996.099365234375,2.0704272180739602
1030A,38.0266,114.6063,61.6,38.0,114.625,22,987.139404296875,63.45734323934524
1034A,38.0457,114.509,78.5,38.0625,114.5,22,985.2193603515625,76.10182428027156
1035A,37.8911,114.3524,553.44,37.875,114.375,19,932.029541015625,564.0495316245238
1036A,39.6308,118.1662,28.3,39.625,118.1875,22,994.1793823242188,23.28052444801487
1037A,39.6363,118.131,25.47,39.625,118.125,22,994.1793823242188,24.504183903588384
1038A,39.6334,118.1725,31.0,39.625,118.1875,22,994.1793823242188,23.28052444801487
1039A,39.6679,118.2185,40.98,39.6875,118.1875,22,993.5393676757812,29.39882172588244
1040A,39.6506,118.1705,31.27,39.625,118.1875,22,994.1793823242188,23.28052444801487
1041A,39.622,118.1869,27.86,39.625,118.1875,22,994.1793823242188,23.28052444801487
1042A,39.8207,119.5134,34.96,39.8125,119.5,22,996.7393798828125,5.945348827390088
1043A,40.0116,119.7493,30.43,40.0,119.75,22,991.619384765625,51.01680544101452
1044A,39.9499,119.5897,8.0,39.9375,119.5625,22,995.4593505859375,13.491248803426757
1046A,39.9041,119.5251,30.69,39.875,119.5,22,995.4593505859375,15.326737986787029
1047A,36.6176,114.5129,55.76,36.625,114.5,22,988.4193725585938,55.70750002071299
1048A,36.6116,114.5302,56.0,36.625,114.5,22,988.4193725585938,55.70750002071299
1049A,36.5713,114.4918,63.99,36.5625,114.5,22,988.4193725585938,58.56270541705119
1050A,36.6133,114.484,60.91,36.625,114.5,22,988.4193725585938,55.70750002071299
1051A,38.8632,115.493,20.56,38.875,115.5,22,992.8993530273438,17.97800014052964
1052A,38.8959,115.5213,15.08,38.875,115.5,22,992.8993530273438,17.97800014052964
1053A,38.9108,115.4713,18.03,38.9375,115.5,22,992.8993530273438,18.99771635350757
1054A,38.8416,115.4612,17.2,38.8125,115.4375,22,992.2593994140625,21.4450352646546
1055A,38.8697,115.4323,25.11,38.875,115.4375,22,992.2593994140625,22.8726379628237
1056A,38.8639,115.5086,24.17,38.875,115.5,22,992.8993530273438,17.97800014052964
1057A,40.8336,114.8883,779.05,40.8125,114.875,22,898.1793823242188,899.4206697432355
1058A,40.7948,114.892,755.01,40.8125,114.875,22,898.1793823242188,899.4206697432355
1059A,40.8042,114.8687,763.95,40.8125,114.875,22,898.1793823242188,899.4206697432355
1060A,40.762,114.8902,710.45,40.75,114.875,22,913.5393676757812,749.3184431928845
1061A,40.8661,114.8916,812.06,40.875,114.875,22,884.7393798828125,1025.0497071821162
1062A,40.9081,117.9531,310.98,40.9375,117.9375,22,946.8193969726562,436.87739553644724
1063A,40.9763,117.9392,333.74,41.0,117.9375,22,946.8193969726562,434.8379631104914
1064A,40.928,117.9503,312.06,40.9375,117.9375,22,946.8193969726562,436.87739553644724
1065A,40.9655,117.8051,379.02,40.9375,117.8125,22,944.2593994140625,462.574244103491
1066A,41.0026,117.9268,396.49,41.0,117.9375,22,946.8193969726562,434.8379631104914
1067A,39.5111,116.6708,14.99,39.5,116.6875,22,994.1793823242188,16.14251095716937
1068A,39.5589,116.7214,17.02,39.5625,116.75,22,994.1793823242188,14.714908259000271
1069A,39.5571,116.715,14.16,39.5625,116.6875,22,994.1793823242188,17.366170412742886
1070A,39.5269,116.7244,16.37,39.5,116.75,22,994.1793823242188,13.287305560831172
1071A,38.2991,116.8842,7.32,38.3125,116.875,22,995.4593505859375,7.984781253345944
1072A,38.3254,116.8584,13.81,38.3125,116.875,22,995.4593505859375,7.984781253345944
1073A,38.3228,116.8709,8.0,38.3125,116.875,22,995.4593505859375,7.984781253345944
1074A,37.7541,115.6838,21.33,37.75,115.6875,22,992.8993530273438,21.648978507250185
1075A,37.7316,115.6303,22.16,37.75,115.625,22,992.8993530273438,22.26080823503694
1076A,37.739,115.6906,23.03,37.75,115.6875,22,992.8993530273438,21.648978507250185
1077A,37.0886,114.4704,77.53,37.0625,114.5,22,987.139404296875,68.14803781904371
1078A,37.0349,114.5062,73.0,37.0625,114.5,22,987.139404296875,68.14803781904371
1079A,37.0851,114.5237,65.53,37.0625,114.5,22,987.139404296875,68.14803781904371
1080A,37.0719,114.4725,84.04,37.0625,114.5,22,987.139404296875,68.14803781904371
1081A,37.8873,112.5139,788.53,37.875,112.5,22,903.2993774414062,841.5007888460892
1082A,37.9103,112.573,842.27,37.9375,112.5625,22,900.099365234375,870.0528428094711
1083A,38.0108,112.434,827.08,38.0,112.4375,22,887.2993774414062,997.3134261891166
1084A,37.7124,112.469,769.0,37.6875,112.5,22,909.0593872070312,784.3966809193251
1085A,37.7394,112.5583,777.04,37.75,112.5625,22,910.33935546875,775.4231782451194
1086A,37.8692,112.5369,786.75,37.875,112.5625,22,902.6593627929688,848.026972609148
1087A,37.8195,112.57,785.42,37.8125,112.5625,22,907.139404296875,808.0540970604131
1088A,37.9854,112.549,817.95,38.0,112.5625,22,897.5393676757812,899.4206697432355
1089A,37.782,112.4701,804.82,37.8125,112.5,22,904.579345703125,828.4484213199717
1090A,40.7517,111.6507,1025.81,40.75,111.625,22,884.099365234375,1036.470528767469
1091A,40.8033,111.6572,1047.05,40.8125,111.6875,22,881.5393676757812,1059.3121719381747
1092A,40.8452,111.659,1063.45,40.875,111.6875,22,869.0593872070312,1176.783479673232
1093A,40.8144,111.608,1052.91,40.8125,111.625,22,880.8993530273438,1067.4699016419981
1094A,40.8369,111.7516,1067.99,40.8125,111.75,22,880.8993530273438,1065.8383557012335
1095A,40.8062,111.7276,1057.0,40.8125,111.75,22,880.8993530273438,1065.8383557012335
1096A,40.7866,111.5512,1061.95,40.8125,111.5625,22,874.8193969726562,1121.3109176872326
1097A,40.7612,111.717,1043.46,40.75,111.6875,22,883.4593505859375,1042.9967125305277
1098A,41.9339,123.6836,129.59,41.9375,123.6875,22,983.2993774414062,124.43637277542535
1099A,41.7406,123.505,46.81,41.75,123.5,22,991.619384765625,49.589202742845416
1100A,41.6989,123.4231,44.33,41.6875,123.4375,22,992.2593994140625,47.34582707429398
1101A,41.7694,123.284,39.0,41.75,123.3125,22,992.8993530273438,38.37232440008821
1102A,41.8411,123.5903,94.05,41.8125,123.5625,22,990.33935546875,60.80608108560263
1103A,41.8467,123.4264,48.19,41.875,123.4375,22,990.9793701171875,57.95087568926443
1104A,41.7653,123.4114,48.96,41.75,123.4375,22,992.2593994140625,45.918224376124876
1105A,41.7867,123.4678,48.32,41.8125,123.4375,22,991.619384765625,52.444408139183615
1106A,41.7972,123.4017,46.16,41.8125,123.375,22,992.2593994140625,45.918224376124876
1107A,41.7806,123.3606,47.05,41.75,123.375,22,992.8993530273438,42.655132494595506
1108A,41.9228,123.3783,45.78,41.9375,123.375,22,990.9793701171875,55.70750002071299
1109A,38.9741,121.612,43.37,39.0,121.625,22,996.7393798828125,23.484467690610455
1110A,38.9511,121.565,43.14,38.9375,121.5625,22,995.4593505859375,36.12894873153677
1111A,38.8845,121.5637,39.87,38.875,121.5625,22,996.099365234375,35.721062246345596
1112A,38.9117,121.6302,33.12,38.9375,121.625,22,998.0193481445312,13.899135288617929
1113A,38.8638,121.6251,19.82,38.875,121.625,22,995.4593505859375,41.431473039021995
1114A,38.8661,121.5213,18.48,38.875,121.5,22,989.6994018554688,88.54236207860228
1115A,38.8061,121.2529,51.7,38.8125,121.25,22,995.4593505859375,38.37232440008821
1116A,39.1311,121.7485,73.81,39.125,121.75,22,989.0593872070312,93.43699990089634
1117A,39.0496,121.7811,32.0,39.0625,121.75,22,990.9793701171875,81.09843372386341
1118A,39.0631,121.9762,20.27,39.0625,122.0,22,997.37939453125,22.464751477632525
1119A,43.9166,125.3325,210.0,43.9375,125.3125,22,976.2593994140625,203.92325157705486
1120A,43.9027,125.2863,228.03,43.875,125.3125,22,974.9793701171875,212.79478262996284
1121A,43.8463,125.2841,233.0,43.875,125.3125,22,974.9793701171875,212.79478262996284
1122A,43.8772,125.3716,200.87,43.875,125.375,22,975.619384765625,207.6962015650732
1123A,43.8805,125.3297,214.96,43.875,125.3125,22,974.9793701171875,212.79478262996284
1124A,43.79,125.4605,260.7,43.8125,125.4375,22,971.7793579101562,242.00965213178048
1125A,43.515,125.7194,224.67,43.5,125.75,22,972.4193725585938,229.97700081864093
1126A,43.8447,125.3863,200.04,43.875,125.375,22,975.619384765625,207.6962015650732
1127A,43.7783,125.245,219.85,43.75,125.25,22,973.6994018554688,220.18772517405282
1128A,43.8325,125.1761,224.16,43.8125,125.1875,22,975.619384765625,207.28831507988204
1129A,45.755,126.5422,119.0,45.75,126.5625,22,985.859375,121.27525251519378
1130A,45.8167,126.561,116.3,45.8125,126.5625,22,986.4993896484375,116.58455793549531
1131A,45.5419,126.979,141.0,45.5625,127.0,22,982.6593627929688,150.28617877441584
1132A,45.7222,126.599,150.88,45.75,126.625,22,984.579345703125,130.65664167459073
1133A,45.7733,126.689,126.0,45.75,126.6875,22,984.579345703125,130.9625565384841
1134A,45.7667,126.635,121.63,45.75,126.625,22,984.579345703125,130.65664167459073
1135A,45.7319,126.685,147.02,45.75,126.6875,22,984.579345703125,130.9625565384841
1136A,45.7258,126.6411,155.47,45.75,126.625,22,984.579345703125,130.65664167459073
1137A,45.7478,126.593,122.0,45.75,126.5625,22,985.859375,121.27525251519378
1138A,45.61,126.615,177.93,45.625,126.625,22,980.099365234375,170.45106688605438
1139A,45.9855,126.595,127.0,46.0,126.625,22,985.2193603515625,124.43637277542535
1140A,45.6842,126.6206,166.83,45.6875,126.625,22,982.0193481445312,154.72194430086984
1141A,31.238,121.4,7.19,31.25,121.375,22,999.2993774414062,5.945348827390088
1142A,31.2036,121.478,8.0,31.1875,121.5,22,999.2993774414062,6.7611217977724305
1143A,31.3008,121.467,7.86,31.3125,121.4375,22,999.2993774414062,5.129575857007745
1144A,31.1654,121.412,4.58,31.1875,121.4375,22,998.6593627929688,8.392667738537115
1145A,31.2659,121.536,9.92,31.25,121.5625,22,999.2993774414062,5.537462342198916
1146A,31.0935,120.978,6.0,31.0625,121.0,22,998.6593627929688,3.2940866736474743
1147A,31.2261,121.425,13.35,31.25,121.4375,22,999.2993774414062,8.18872449594153
1148A,31.1907,121.703,7.81,31.1875,121.6875,22,999.2993774414062,3.905916401434231
1149A,31.2284,121.533,6.0,31.25,121.5625,22,999.2993774414062,5.537462342198916
1150A,31.2071,121.577,8.59,31.1875,121.5625,22,999.2993774414062,4.517746129220988
1151A,32.1065,118.8086,17.85,32.125,118.8125,22,995.4593505859375,23.68841093320604
1152A,32.0551,118.7538,33.81,32.0625,118.75,22,996.099365234375,17.1622271701473
1153A,32.0745,118.7794,14.66,32.0625,118.75,22,996.099365234375,17.1622271701473
1154A,32.0023,118.7752,49.56,32.0,118.75,22,996.7393798828125,13.695192046022342
1155A,32.0309,118.8109,11.65,32.0,118.8125,22,996.099365234375,19.40560283869874
1156A,32.0754,118.7997,9.9,32.0625,118.8125,22,993.5393676757812,39.59598385566172
1157A,32.0931,118.6414,29.06,32.0625,118.625,22,994.1793823242188,33.68162982038974
1158A,31.9996,118.7356,6.88,32.0,118.75,22,996.7393798828125,13.695192046022342
1159A,32.1028,118.9125,13.02,32.125,118.9375,22,995.4593505859375,23.892354175801625
1160A,31.2472,120.561,34.72,31.25,120.5625,22,996.7393798828125,14.3070217738091
1161A,31.2864,120.628,2.53,31.3125,120.625,22,998.0193481445312,4.7216893718165736
1162A,31.3019,120.591,6.01,31.3125,120.5625,22,998.0193481445312,5.537462342198916
1163A,31.3264,120.596,8.79,31.3125,120.625,22,998.0193481445312,4.7216893718165736
1164A,31.2703,120.613,2.87,31.25,120.625,22,998.0193481445312,4.313802886625402
1165A,31.2994,120.543,6.31,31.3125,120.5625,22,998.0193481445312,5.537462342198916
1166A,31.3097,120.669,8.8,31.3125,120.6875,22,998.6593627929688,3.905916401434231
1167A,31.3708,120.641,5.85,31.375,120.625,22,998.6593627929688,3.2940866736474743
1168A,31.9663,120.9098,2.08,31.9375,120.9375,22,999.2993774414062,3.2940866736474743
1169A,32.0005,120.86,9.02,32.0,120.875,22,999.2993774414062,3.905916401434231
1170A,32.02,120.87,6.0,32.0,120.875,22,999.2993774414062,3.905916401434231
1171A,31.93,120.94,1.93,31.9375,120.9375,22,999.2993774414062,3.2940866736474743
1172A,32.0417,120.81,5.72,32.0625,120.8125,22,999.2993774414062,5.129575857007745
1173A,34.5885,119.176,5.84,34.5625,119.1875,22,998.0193481445312,15.122794744191442
1174A,34.5896,119.141,5.1,34.5625,119.125,22,998.0193481445312,17.97800014052964
1175A,34.7507,119.368,6.0,34.75,119.375,22,993.5393676757812,57.95087568926443
1176A,34.6984,119.348,5.81,34.6875,119.375,22,992.2593994140625,69.7795837598084
1177A,34.2761,117.179,42.76,34.25,117.1875,22,994.8193969726562,40.81964331123523
1178A,34.2384,117.1918,35.88,34.25,117.1875,22,994.8193969726562,40.81964331123523
1179A,34.3083,117.192,33.52,34.3125,117.1875,22,995.4593505859375,36.33289197413235
1180A,34.2153,117.256,39.81,34.1875,117.25,22,995.4593505859375,34.08951630558091
1181A,34.2911,117.244,34.65,34.3125,117.25,22,995.4593505859375,35.51711900375001
1182A,34.2778,117.2933,34.69,34.25,117.3125,22,995.4593505859375,33.68162982038974
1183A,34.1806,117.166,38.85,34.1875,117.1875,22,994.8193969726562,41.023586553830825
1184A,32.3878,119.46,8.38,32.375,119.4375,22,998.0193481445312,7.576894768154773
1185A,32.41,119.404,8.93,32.4375,119.375,22,996.7393798828125,20.0174325664855
1186A,32.3761,119.389,8.0,32.375,119.375,22,997.37939453125,11.04392989227973
1187A,32.4033,119.439,11.0,32.375,119.4375,22,998.0193481445312,7.576894768154773
1188A,31.4867,120.269,6.25,31.5,120.25,22,997.37939453125,9.820270436706215
1189A,31.6219,120.275,4.64,31.625,120.25,22,998.0193481445312,5.129575857007745
1190A,31.56,120.294,8.77,31.5625,120.3125,22,998.0193481445312,6.7611217977724305
1191A,31.5031,120.242,7.76,31.5,120.25,22,997.37939453125,9.820270436706215
1192A,31.5863,120.3489,8.1,31.5625,120.375,22,998.0193481445312,4.517746129220988
1193A,31.5475,120.354,17.18,31.5625,120.375,22,998.0193481445312,4.517746129220988
1194A,31.5631,120.245,8.59,31.5625,120.25,22,996.7393798828125,15.122794744191442
1195A,31.6817,120.299,5.99,31.6875,120.3125,22,998.6593627929688,3.7019731588386455
1196A,31.762,119.9633,6.0,31.75,119.9375,22,998.0193481445312,5.129575857007745
1197A,31.7786,119.933,5.89,31.75,119.9375,22,998.0193481445312,5.129575857007745
1198A,31.8089,119.962,9.48,31.8125,119.9375,22,998.0193481445312,4.7216893718165736
1199A,31.7638,120.0393,3.96,31.75,120.0625,22,998.0193481445312,4.92563261441216
1200A,31.7069,119.9468,8.0,31.6875,119.9375,22,998.0193481445312,5.537462342198916
